               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10435,            0.025285,            0.079133,           0.0010151,             0.26844,           0.0074564,           0.0030229,            0.081296,            0.012957,            0.074643,            0.070682,           0.0032576,           0.0032576
                   1,            0.078163,            0.023662,            0.065902,             0.81747,            0.082175,            0.057582,            0.024452,            0.075097,            0.011256,            0.067403,             0.04066,           0.0065692,           0.0065692
                   2,            0.071255,            0.022969,            0.056711,             0.83798,            0.053188,            0.065107,            0.023786,            0.069795,            0.011124,             0.05451,            0.010616,           0.0098587,           0.0098587
                   3,            0.066151,            0.022501,            0.044898,             0.69496,             0.10646,            0.063583,            0.021402,            0.072607,            0.010785,            0.057806,            0.009901,            0.009901,            0.009901
                   4,            0.065198,            0.020418,            0.043091,             0.55589,             0.12652,             0.10801,            0.048619,            0.067836,             0.01217,            0.052938,            0.009901,            0.009901,            0.009901
                   5,            0.064747,            0.020842,            0.039445,              0.6254,              0.1221,              0.1377,            0.058367,            0.062078,            0.010996,            0.051487,            0.009868,            0.009868,            0.009868
                   6,            0.062232,             0.01964,            0.035038,              0.5781,             0.15905,             0.15507,            0.051241,            0.066379,            0.010607,            0.046946,            0.009835,            0.009835,            0.009835
                   7,            0.061749,            0.019963,            0.030653,             0.54091,             0.17345,             0.12958,             0.05288,            0.065902,              0.0102,             0.03935,            0.009802,            0.009802,            0.009802
                   8,            0.060609,             0.01944,            0.027968,             0.55703,             0.19919,             0.13783,             0.05615,            0.063307,            0.012881,            0.041375,            0.009769,            0.009769,            0.009769
                   9,            0.058581,            0.019556,            0.023297,             0.42226,             0.21541,             0.16308,            0.067578,             0.06277,            0.010712,            0.032304,            0.009736,            0.009736,            0.009736
                  10,            0.061521,            0.020131,            0.025352,             0.53231,             0.18925,             0.15696,             0.05415,            0.065873,           0.0099274,            0.032234,            0.009703,            0.009703,            0.009703
                  11,            0.057816,            0.018527,            0.022982,              0.5231,             0.22864,             0.20829,            0.084649,            0.060019,           0.0099891,             0.03271,             0.00967,             0.00967,             0.00967
                  12,            0.057667,            0.019041,            0.023805,             0.53958,             0.25293,             0.23296,            0.082302,            0.061861,           0.0099475,            0.034171,            0.009637,            0.009637,            0.009637
                  13,            0.058062,            0.019864,            0.024046,             0.44064,             0.24305,             0.19526,            0.073149,            0.065887,            0.010393,            0.041813,            0.009604,            0.009604,            0.009604
                  14,            0.053778,            0.018279,            0.020921,             0.42768,             0.24442,             0.21493,            0.083893,            0.061158,            0.010646,            0.037781,            0.009571,            0.009571,            0.009571
                  15,             0.05586,            0.019257,            0.020395,             0.52137,             0.25546,             0.23702,            0.089415,            0.063695,            0.010548,            0.033468,            0.009538,            0.009538,            0.009538
                  16,             0.05796,            0.017306,            0.020526,             0.65982,             0.17138,             0.21362,            0.072901,            0.062728,            0.010565,             0.04624,            0.009505,            0.009505,            0.009505
                  17,            0.054363,            0.017479,            0.020644,               0.544,             0.31982,             0.28638,             0.10859,            0.056424,            0.010705,            0.025481,            0.009472,            0.009472,            0.009472
                  18,            0.055073,            0.018038,            0.017527,             0.55153,             0.22567,             0.26238,             0.11162,            0.059738,           0.0095731,            0.029418,            0.009439,            0.009439,            0.009439
                  19,             0.05356,            0.017952,            0.017533,             0.39455,             0.31164,             0.27854,             0.13917,             0.06034,            0.010348,            0.029067,            0.009406,            0.009406,            0.009406
                  20,            0.053215,            0.018424,            0.017127,             0.56717,             0.30419,             0.31989,             0.15048,            0.058309,           0.0097722,            0.031067,            0.009373,            0.009373,            0.009373
                  21,            0.055028,            0.017238,            0.016515,             0.42744,             0.36195,             0.29512,             0.14379,            0.058524,           0.0096718,            0.028162,             0.00934,             0.00934,             0.00934
                  22,            0.051714,            0.016432,            0.015498,             0.52392,             0.31707,             0.31205,             0.14028,            0.059956,           0.0098177,             0.03361,            0.009307,            0.009307,            0.009307
                  23,            0.051812,             0.01727,            0.016511,             0.40757,             0.32097,              0.2939,             0.12241,            0.057707,           0.0097473,            0.029427,            0.009274,            0.009274,            0.009274
                  24,            0.051593,            0.017208,            0.016484,             0.49048,             0.26752,             0.25704,             0.11072,            0.057201,            0.010556,            0.029427,            0.009241,            0.009241,            0.009241
                  25,            0.050564,            0.016963,            0.016011,             0.37526,             0.33801,             0.28537,             0.14164,            0.054765,           0.0099589,            0.033451,            0.009208,            0.009208,            0.009208
                  26,              0.0518,            0.016996,            0.017076,             0.50029,             0.35249,             0.33509,             0.14456,            0.053742,           0.0094322,            0.031155,            0.009175,            0.009175,            0.009175
                  27,            0.051582,            0.017648,            0.013978,             0.56534,              0.3002,             0.30159,             0.13985,            0.055595,           0.0098235,            0.032878,            0.009142,            0.009142,            0.009142
                  28,            0.049569,            0.016609,             0.01336,             0.41768,              0.2509,              0.2602,             0.12645,            0.057841,            0.010078,            0.027444,            0.009109,            0.009109,            0.009109
                  29,            0.053195,            0.016045,            0.014847,             0.60411,             0.18217,             0.22442,             0.11093,            0.061456,            0.011061,            0.037335,            0.009076,            0.009076,            0.009076
